RatioAdultToPW,Ccode,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Namibia,516,1.155730735,1.13783108,1.099648595,1.069722349,1.040708322,1.015191771,0.98957757,0.96219644,0.93966553,0.915510568,0.892979463,0.871532329,0.853045895,0.835583554,0.821619697,0.809088378,0.798776516,0.790886469,0.785109864,0.781492901,0.781383088,0.785119295,0.796197997,0.806818143,0.816240116,0.826690711,0.841195321,0.853939947,0.864234108,0.879885043,0.896978561,0.916492752,0.942664588,0.970564637,1.00107437,1.033012471,1.033012471
Nigeria,566,1.540494297,1.473127875,1.416026134,1.37161699,1.346654978,1.314024948,1.280203062,1.258832237,1.22713149,1.209104005,1.185204856,1.175085313,1.154272977,1.138064419,1.12918172,1.121564769,1.112536396,1.103000734,1.103831484,1.102510814,1.103760254,1.104988293,1.112704284,1.116035996,1.128618425,1.138289763,1.146254342,1.150104461,1.161644826,1.180247613,1.205872715,1.228606686,1.25540435,1.281562934,1.309780747,1.338354707,1.338354707
Papua New Guinea,598,6.246234946,3.54573925,3.931281133,3.89043742,2.8831522,2.049224016,1.744679296,1.564298669,1.454974476,1.379908226,1.317421374,1.274874243,1.23702589,1.20333421,1.185573094,1.177699068,1.174179761,1.160328217,1.132399959,1.102728542,1.078040767,1.059992924,1.052553475,1.054766245,1.065170442,1.067210607,1.078900358,1.091439249,1.077839361,1.072205888,1.083196659,1.092991821,1.102145334,1.107879412,1.111161594,1.109854978,1.109854978
Rwanda,646,1.360331432,1.302101781,1.253283403,1.208910234,1.174674025,1.143264901,1.113714841,1.08862164,1.062376314,1.041875054,1.024431585,1.013178114,1.005836236,0.999963099,0.995739756,0.99509579,0.995778701,1.00046768,1.010762049,1.025674883,1.046115843,1.087958801,1.13099609,1.165262407,1.19627176,1.223517938,1.245920592,1.243632966,1.25826206,1.275552703,1.290971256,1.300164629,1.315485195,1.323462869,1.338964404,1.355814901,1.355814901
Sierra Leone,694,1.594125,1.565321482,1.486413364,1.416540502,1.370585929,1.347406251,1.3193866,1.2874061,1.262282074,1.245792773,1.229058415,1.217433878,1.205251858,1.199562548,1.191986051,1.18295381,1.172771706,1.162985173,1.153976772,1.146616514,1.134455544,1.13091559,1.124424537,1.122948882,1.118428717,1.12454786,1.131572906,1.138850017,1.150083966,1.162503125,1.169357274,1.185436766,1.20229076,1.218083091,1.240601585,1.261035638,1.261035638
Somalia,706,2.17053462,2.064911061,2.007152709,1.902775527,1.883000235,1.849308154,1.785680449,1.7172091,1.643510398,1.57947052,1.522487955,1.481101992,1.444146755,1.41100777,1.382917936,1.340431907,1.32277031,1.321136656,1.313211984,1.308029407,1.300371906,1.296133681,1.297339297,1.296983755,1.293821114,1.29292124,1.292038832,1.290374778,1.287159989,1.289506905,1.294363228,1.301504364,1.309668343,1.32030026,1.331611356,1.344168075,1.344168075
South Africa,710,1.430947117,1.388783929,1.320952032,1.258925516,1.203180485,1.150257222,1.100303564,1.054026827,1.010290799,0.9651489,0.925278449,0.887619857,0.851878929,0.822342642,0.79760848,0.777198021,0.760751029,0.747614137,0.737360109,0.729784431,0.724857031,0.722896919,0.723545238,0.726328156,0.730144638,0.734544005,0.741395951,0.751595361,0.762214588,0.774189903,0.788322296,0.803128856,0.819088226,0.835772104,0.852519965,0.869293499,0.869293499
South Sudan,728,2.430650556,1.73103528,1.519559111,1.438894133,1.426697811,1.368012195,1.31099182,1.256847267,1.21778727,1.19412395,1.176099065,1.161005817,1.156251248,1.149205168,1.141954167,1.122701228,1.118318438,1.120180034,1.120229861,1.11050758,1.10590855,1.100470179,1.09593458,1.093128155,1.09405016,1.09565109,1.093861954,1.096276624,1.097651795,1.115358298,1.132211342,1.150186439,1.175057257,1.195668721,1.225977212,1.253267522,1.253267522
Swaziland,748,4.228379324,3.1401228,1.9418531,1.5314832,1.366807724,1.258299429,1.168341918,1.099180626,1.040748413,0.988479275,0.946491469,0.914548743,0.888881575,0.869804278,0.856886679,0.847807896,0.84303072,0.840681366,0.838474476,0.835478024,0.833809408,0.835468743,0.840277098,0.845999176,0.852259113,0.86044437,0.86802,0.875595522,0.886706772,0.897765603,0.910301631,0.922785108,0.936079622,0.950923735,0.967288684,0.985386878,0.985386878
Togo,768,1.064417596,1.025801989,0.99157032,0.957511965,0.932100157,0.905465297,0.88508424,0.866025135,0.848435803,0.833768943,0.818031762,0.803157505,0.792261323,0.77794044,0.767446415,0.757263043,0.748400643,0.739986864,0.732961818,0.727282847,0.725279888,0.72570119,0.729246234,0.733839111,0.741701061,0.75630621,0.774503404,0.79565387,0.815926053,0.834836039,0.856399841,0.894846882,0.938028598,0.978240909,1.017411027,1.058892198,1.058892198
Uganda,800,1.440665103,1.341832429,1.264056875,1.20122202,1.150926734,1.11294771,1.083224417,1.065384295,1.052398898,1.043370648,1.038951498,1.037580184,1.043781223,1.048726397,1.054517771,1.059421919,1.064631259,1.064696712,1.064345158,1.060937813,1.058764516,1.05719613,1.047924336,1.037478256,1.031704405,1.024681782,1.018501816,1.0117278,1.007632076,1.009388584,1.015543749,1.018288675,1.026226648,1.04014641,1.055794761,1.077056469,1.077056469
United Republic of Tanzania,834,1.311912025,1.27665752,1.243280414,1.211206098,1.185559637,1.155370631,1.131860797,1.108274307,1.08875045,1.073332322,1.06056732,1.053423895,1.049993349,1.048845188,1.052795792,1.057619901,1.066353374,1.076141629,1.086027609,1.094491992,1.10343646,1.11464476,1.133437356,1.154260016,1.170462876,1.18605306,1.195173806,1.205789576,1.217328537,1.23451307,1.25760807,1.28258065,1.311061455,1.335974391,1.361387384,1.386339548,1.386339548
Zambia,894,1.18676208,1.143494011,1.100980392,1.064649899,1.031624897,0.99058731,0.97302181,0.924405954,0.917014119,0.916559295,0.918913358,0.923344299,0.930546864,0.936396634,0.940720054,0.936530293,0.950450233,0.955035793,0.954892523,0.95211217,0.951233449,0.950514228,0.952004524,0.961186416,0.976861597,0.967559231,1.00904615,1.025295836,1.043838382,1.057493529,1.069416464,1.08280778,1.097949914,1.1154663,1.131657707,1.147332136,1.147332136
Zimbabwe,716,1.352018057,1.275321313,1.217751441,1.168280994,1.121714816,1.079863787,1.043621173,1.012134637,0.984671664,0.962119311,0.944757853,0.932637313,0.924524002,0.918488373,0.912575638,0.907191661,0.904934546,0.90688285,0.914445294,0.924743906,0.938266765,0.955010458,0.975283879,0.99616093,1.019270616,1.042704848,1.067476645,1.093619915,1.113733768,1.14493355,1.179897026,1.208376479,1.241018253,1.27499388,1.308142781,1.340591308,1.340591308
Median,10000,1.503133128,1.421511317,1.367307573,1.315061711,1.300307865,1.258299429,1.204295729,1.195476385,1.171368664,1.12373361,1.093510003,1.068234492,1.049993349,1.048726397,1.052795792,1.057619901,1.064631259,1.061929787,1.034772297,1.025674883,1.0299136,1.024653574,1.047924336,1.037478256,1.055299163,1.067210607,1.078900358,1.093619915,1.109080421,1.126831616,1.155460657,1.171597484,1.199308652,1.218083091,1.240601585,1.26287791,1.26287791
